#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
125.0,1555,4646.120584
365.0,2471,4650.870942
160.0,2341,4655.384623
365.0,2801,4660.713834
380.0,4021,4668.407019
135.0,2027,4672.26228
540.0,2895,4677.78516
410.0,3765,4685.007888
385.0,2937,4690.633603
310.0,2757,4695.966125
210.0,2127,4700.019336
115.0,2005,4703.847392
380.0,3307,4710.224201
450.0,3007,4715.922037
320.0,3411,4722.381111
395.0,2705,4727.565168
405.0,3469,4734.159526
190.0,2121,4738.212883
360.0,2793,4743.532546
200.0,2723,4748.782491
90.0,2049,4752.716274
570.0,3809,4759.941722
260.0,2441,4764.589508
600.0,4239,4772.739357
580.0,2991,4778.464907
470.0,3553,4785.185521
205.0,2107,4805.213057
170.0,2615,4810.371911
285.0,2869,4815.997041
580.0,3445,4822.700902
500.0,3779,4830.132561
320.0,2521,4835.026981
175.0,2015,4838.902303
325.0,2424,4843.59764
440.0,4135,4851.508095
265.0,2321,4855.942894
105.0,1173,4858.179152
500.0,3837,4865.58373
110.0,1631,4868.709738
225.0,2809,4874.1146
260.0,2275,4878.433977
805.0,3885,4885.759658
450.0,3143,4891.887644
445.0,2921,4897.471225
320.0,2737,4902.697198
405.0,3363,4909.114296
420.0,3273,4915.346076
905.0,4333,4923.6997
555.0,2701,4928.919825
745.0,4307,4937.169553
265.0,2255,4941.485996
560.0,3685,4948.518824
355.0,2601,4953.605176
515.0,3965,4961.128958
715.0,3271,4967.368602
575.0,4357,4975.648552
885.0,5653,4986.457202
460.0,3099,4992.447088
490.0,2585,5016.743857
165.0,1839,5020.304989
390.0,3557,5027.115169
600.0,4411,5035.422347
650.0,4499,5044.011108
405.0,3585,5050.837917
500.0,4449,5059.269113
430.0,2923,5064.885483
395.0,2895,5070.505584
575.0,3987,5078.040236
680.0,3033,5083.87519
200.0,1919,5087.539481
410.0,2381,5092.077172
165.0,1533,5094.984088
380.0,3405,5101.504996
420.0,3035,5108.208881
315.0,2325,5112.727525
375.0,2559,5117.678091
695.0,3231,5123.847775
610.0,3855,5131.388327
515.0,3755,5138.725313
645.0,5327,5148.803425
